product_category,total_quantity_sold,total_revenue,avg_product_rating,unique_products
beauty,17,193.83,3.503333333333334,4
fragrances,14,1059.86,3.4125,3
furniture,9,12699.91,4.18,2
groceries,99,410.31,3.896969696969697,21
home-decoration,22,639.78,4.113333333333333,3
kitchen-accessories,85,1315.15,3.7085714285714286,20
laptops,16,24899.84,4.046,4
mens-shirts,11,344.89,3.55,2
mens-shoes,17,1679.83,4.616666666666666,5
mens-watches,26,151399.74,3.76375,4
mobile-accessories,70,8565.300000000001,3.7821052631578946,12
motorcycle,5,26999.949999999997,4.425,2
skin-care,5,44.95,3.19,1
smartphones,60,26099.4,3.548421052631579,12
sports-accessories,70,1767.3,3.9814999999999996,13
sunglasses,21,563.79,3.608333333333333,5
tablets,4,2399.96,4.68,1
tops,21,649.79,3.7879999999999994,5
vehicle,20,627999.8,3.498,3
womens-bags,10,1049.9,2.85,2
womens-dresses,11,1499.89,4.1325,3
womens-jewellery,7,184.92999999999998,3.83,2
womens-shoes,8,399.92,3.26,1
womens-watches,16,111399.84,3.372,3
